year,nday,incidents
2012,18,74
2012,19,46
2012,20,65
2012,21,48
2012,22,104
2012,23,57
2012,24,73
2012,25,46
2012,26,58
2012,27,58
2012,28,69
2012,29,61
2012,30,80
2012,31,48
2012,32,63
2012,33,55
2012,34,71
2012,35,49
2012,36,72
2012,37,53
2012,38,71
2012,39,44
2012,40,61
2012,41,58
2012,42,76
2012,43,49
2012,44,55
2012,45,48
2012,46,66
2012,47,65
2012,48,82
2012,49,59
2012,50,84
2012,51,54
2012,52,79
2012,53,56
2012,54,73
2012,55,45
2012,56,66
2012,57,70
2012,58,68
2012,59,69
2012,60,71
2012,61,64
2012,62,74
2012,63,58
2012,64,65
2012,65,63
2012,66,78
2012,67,54
2012,68,65
2012,69,63
2013,15,73
2013,16,91
2013,17,59
2013,18,75
2013,19,41
2013,20,88
2013,21,45
2013,22,67
2013,23,46
2013,24,82
2013,25,58
2013,26,74
2013,27,40
2013,28,73
2013,29,69
2013,30,66
2013,31,53
2013,32,72
2013,33,62
2013,34,66
2013,35,56
2013,36,79
2013,38,70
2013,38,83
2013,40,49
2013,40,63
2013,41,49
2013,42,63
2013,43,127
2013,45,133
2013,47,145
2013,49,137
2013,51,66
2013,52,67
2013,53,59
2013,54,80
2013,55,79
2013,56,81
2013,57,52
2013,58,82
2013,59,55
2013,60,83
2013,61,64
2013,62,76
2013,63,56
2013,64,91
2013,65,63
2013,66,86
2013,67,52
2013,68,69
2014,17,122
2014,18,122
2014,19,142
2014,20,142
2014,21,125
2014,22,125
2014,23,138
2014,24,138
2014,25,119
2014,26,119
2014,27,139
2014,28,139
2014,29,124
2014,30,124
2014,31,116
2014,32,116
2014,33,151
2014,34,151
2014,35,127
2014,36,127
2014,37,151
2014,38,151
2014,39,130
2014,40,130
2014,41,116
2014,42,116
2014,43,141
2014,44,141
2014,45,135
2014,46,135
2014,47,142
2014,48,142
2014,49,159
2014,50,159
2014,51,130
2014,52,130
2014,53,125
2014,54,125
2014,55,134
2014,56,134
2014,57,139
2014,58,139
