"nday","people2013","people2014","crime2013","crime2014","emergencies2013","emergencies2014","complaints2013","complaints2014"
25,59582,59728,87,77,58,119,7,7
26,47857,55121,77,79,74,119,5,5
27,63063,63274,83,71,40,139,18,14
28,59052,67158,80,74,73,139,7,NA
29,58307,66084,72,76,69,124,8,7
30,56570,66667,82,69,66,124,5,8
32,56892,52016,68,54,72,116,11,9
33,66649,58270,76,73,62,151,7,18
34,59873,53876,85,74,66,151,9,15
35,60186,64348,75,73,56,127,24,11
36,57325,56638,66,85,79,127,4,20
37,64845,55201,79,72,NA,151,8,20
38,48234,52979,64,86,70,151,6,11
38,48234,52979,64,86,83,151,6,11
39,57033,61291,71,96,NA,130,14,21
40,55527,65263,77,90,49,130,4,8
40,55527,65263,77,90,63,130,4,8
41,50055,58186,67,82,49,116,9,10
42,51896,53028,61,73,63,116,15,10
